type_stands,X,Y,Easting,Northing,location_stand,no_stands,physical_condition,occupancy,expanded_capacity,security_safetyrating,lighting,protection_weather,large_development,ease_access,proximity_cyclenetwork,commercial,retail,residential,transportation,education,recreational,entertainment,restaurants,expanded_stands,,Batch No.,adjusted_easting,adjusted_northing
Sheffield Stand,-6.253649443,53.34738591,316350.291,234413.607,Georges Quay,2,High,25,200,High,High,Low,All,Good,Visible,,,,,,,,,4,,,4930.291,3469.607
Stainless Steel Curved,-6.238718927,53.34301848,317356.514,233952.022,Grand canal docks,5,High,50,200,Medium,High,Low,All,Good,Visible,,,,,,,,,10,,,5936.514,3008.022
Stainless Steel Curved,-6.238583475,53.34339239,317364.508,233993.854,Grand canal docks outside fresh,4,High,80,200,Medium,High,Low,All,Good,Visible,,,,,,,,,8,,,5944.508,3049.854
Stainless Steel Curved,-6.236217767,53.34491682,317517.864,234167.385,Blood stone road,4,High,0,200,Medium,High,Low,All,Good,Unknown,,,,,,,,,8,,,6097.864,3223.385
Stainless Steel Curved,-6.24309361,53.3476477,317052.491,234459.99,"Both wall quay, opposite the Spenser. ",4,High,80,200,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,8,,,5632.491,3515.99
Stainless Steel Curved,-6.2415272,53.34621063,317160.739,234302.639,Sir john Robertson quay,4,High,0,200,Medium,High,Low,All,Good,Adjacent & Visible,,,,,,,,,8,,,5740.739,3358.639
Sheffield Stand,-6.252639592,53.3417502,316432.892,233788.1,Start of Leinster street south,3,High,,167,High,High,Low,All,Good,Unknown,,,,,,,,,5,,,5012.892,2844.1
Sheffield Stand,-6.259177476,53.35260382,315968.012,234985.276,Marlborough street opposite An Board Pleanala ,5,High,25,160,Medium,High,Low,All,Good,Unknown,,,,,,,,,8,,,4548.012,4041.276
Railing,-6.240792274,53.3378138,317232.711,233369.431,Mount street lower outside board bia,4,High,65,150,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,5812.711,2425.431
Sheffield Stand,-6.265382767,53.33482844,315602.924,232997.132,"Camden street lower, Infront of enable ireland",5,High,20,150,High,High,Low,All,Good,Visible,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8,,,4182.924,2053.132
Sheffield Stand,-6.245928705,53.35520694,316843.026,235296.554,North strand road,4,High,25,150,High,High,Low,All,Good,Adjacent & Visible,,,,,,,,,6,,,5423.026,4352.554
